order_id,customer_id,order_date,customer_age,customer_gender,customer_segment,region,state,store_type,product_category,product_subcategory,product_name,unit_price,quantity,discount_percent,shipping_cost,payment_method,marketing_channel,customer_tenure_months,loyalty_program_member,competitor_price,economic_index,season,day_of_week,is_holiday,sales_rep_id,sales_rep_experience_years,customer_satisfaction_score,delivery_days,total_sales
ORD-101062,CUST-1396,2024-10-02,17.0,Female,Home Office,South West,Ogun,Retail,groceries,Beverages,Beverages Pro 859,"₦24,579.50",6,0.0,471.9,Bank Transfer,Email,17,N,25403.18,98.89,Rainy,Wednesday,N,REP-05,17.0,2.8,6.0,184238.41
ORD-100104,CUST-3191,2024/03/20,58.0,Female,Consumer,South South,WARRI,Retail,Beauty,Fragrance,Fragrance Standard 918,26869.41,5,5.0,,Debit Card,Social Media,15,,30194.8,97.65,Dry,Wednesday,False,REP-05,11.0,2.6,3.0,144882.33
ORD-103564,CUST-3148,2024-04-03,38.0,Female,Corporate,South East,Owerri,Wholesale,Furniture,Office Chairs,Office Chairs Plus 299,"₦32,221.25",3,,423.56,USSD,Direct,48,,,97.7,Rainy,Wednesday,No,REP-33,10.0,5.0,5.0,87305.62
ORD-101207,CUST-2981,"July 09, 2025",44.0,,Consumer,North,PLATEAU,Online,Electronics,Audio,Audio Standard 249,5424.65,5,10.0,685.05,USSD,Referral,67,Yes,,93.45,Rainy,Wednesday,No,REP-02,15.0,4.2,4.0,33005.8
ORD-103442,CUST-2252,"August 12, 2024",33.0,Female,Corporate,South West,OSUN,Online,Automotive Parts,Filters,Filters Lite 952,"₦22,502.33",4,0.0,706.57,USSD,Social Media,42,,19732.94,102.91,Rainy,Monday,0,REP-08,13.0,2.5,5.0,108238.71
ORD-104409,CUST-1888,2024/04/07,44.0,Male,Home Office,North Central,Ilorin,Retail,FURNITURE,Tables,Tables Lite 582,4067.36,2,25.0,1136.06,BANK_TRANSFER,TV,68,No,4147.65,104.26,Rainy,Sunday,No,REP-34,3.0,4.4,9.0,-6005.57
ORD-102836,CUST-3654,09/10/2024,21.0,Male,Consumer,North,Kano,Retail,Electronics,Televisions,Televisions Max 266,"₦27,449.76",2,5.0,613.28,Debit Card,Email,21,0,29418.42,92.45,Rainy,Wednesday,no,REP-32,15.0,3.0,3.0,51558.21
ORD-101559,CUST-3352,2024-03-17,44.0,Female,Home Office,South West,lagos,Online,Clothing,Footwear,Footwear Standard 777,"NGN 37,906",5,25.0,297.58,Credit Card,Search,91,N,38670.43,102.69,Dry,Sunday,No,REP-02,6.0,4.1,6.0,139252.63
ORD-103841,CUST-2358,2024-08-10,17.0,Female,Consumer,North Central,ilorin,Online,Clothing,Menswear,Menswear Standard 938,50950.19,5,5.0,592.33,Bank Transfer,Social Media,90,Yes,58496.49,95.29,Rainy,Saturday,False,REP-12,10.0,3.9,5.0,261826.29
ORD-100887,CUST-1530,2024-05-03,29.0,Female,Consumer,South East, Aba ,Online,Beauty,Skincare,Skincare Pro 527,19832.21,8,0.0,779.78,Mobile Money,Social Media,62,True,19805.12,102.17,Rainy,Friday,no,REP-03,17.0,4.4,6.0,224712.66
ORD-101683,CUST-3189,2025-08-22,,Female,Consumer,North,borno,Wholesale,Office Supplies,Stationery,Stationery Eco 984,34722.26,7,10.0,,USSD,Search,21,,37531.42,102.07,Rainy,Friday,N,REP-08,18.0,2.8,7.0,285520.02
ORD-101119,CUST-2356,"July 16, 2024",37.0,Other,Home Office,North,Sokoto,Online,Furniture,Office Chairs,Office Chairs Plus 939,7822.11,3,10.0,306.15,USSD,Social Media,69,,8651.9,100.06,Rainy,Tuesday,True,REP-57,15.0,3.1,5.0,19490.24
ORD-103922,CUST-2322,2025-04-22,45.0,Female,Home Office,South West,ibadan,Retail, Furniture ,Beds,Beds Max 931,6024.76,3,5.0,755.29,CASH,TV,7,no,5850.69,108.89,Rainy,Tuesday,False,REP-38,2.0,2.4,7.0,18674.95
ORD-103901,CUST-3617,06/09/2025,34.0,Other,Corporate,South West, Ogun ,Retail,beauty,Makeup,Makeup Plus 129,"NGN 31,922",2,0.0,1021.91,USSD,Email,52,N,25661.57,123.46,Rainy,Saturday,no,REP-09,5.0,4.3,6.0,73017.19
ORD-101481,CUST-1004,2025-10-17,48.0,Female,Consumer,South East,ENUGU,Retail,Office Supplies,Stationery,Stationery Max 528,30503.88,6,0.0,457.64,Debit Card,Direct,94,No,30768.18,103.89,Rainy,Friday,N,REP-16,17.0,4.3,4.0,178130.27
